Date,Team 1,FT,Team 2,Season
Mar 11 2020,Bor. Mönchengladbach,2-1,1. FC Köln,2019-20
May 16 2020,Borussia Dortmund,4-0,FC Schalke 04,2019-20
May 16 2020,RB Leipzig,1-1,SC Freiburg,2019-20
May 16 2020,TSG 1899 Hoffenheim,0-3,Hertha BSC,2019-20
May 16 2020,Fortuna Düsseldorf,0-0,SC Paderborn 07,2019-20
May 16 2020,FC Augsburg,1-2,VfL Wolfsburg,2019-20
May 16 2020,Eintracht Frankfurt,1-3,Bor. Mönchengladbach,2019-20
May 17 2020,1. FC Köln,2-2,1. FSV Mainz 05,2019-20
May 17 2020,1. FC Union Berlin,0-2,Bayern Munich,2019-20
May 18 2020,Werder Bremen,1-4,Bayer 04 Leverkusen,2019-20
May 22 2020,Hertha BSC,4-0,1. FC Union Berlin,2019-20
May 23 2020,Bor. Mönchengladbach,1-3,Bayer 04 Leverkusen,2019-20
May 23 2020,VfL Wolfsburg,0-2,Borussia Dortmund,2019-20
May 23 2020,SC Freiburg,0-1,Werder Bremen,2019-20
May 23 2020,SC Paderborn 07,1-1,TSG 1899 Hoffenheim,2019-20
May 23 2020,Bayern Munich,5-2,Eintracht Frankfurt,2019-20
May 24 2020,FC Schalke 04,0-3,FC Augsburg,2019-20
May 24 2020,1. FSV Mainz 05,0-5,RB Leipzig,2019-20
May 24 2020,1. FC Köln,2-2,Fortuna Düsseldorf,2019-20
May 26 2020,Borussia Dortmund,0-1,Bayern Munich,2019-20
May 26 2020,Bayer 04 Leverkusen,1-4,VfL Wolfsburg,2019-20
May 26 2020,Eintracht Frankfurt,3-3,SC Freiburg,2019-20
May 26 2020,Werder Bremen,0-0,Bor. Mönchengladbach,2019-20
May 27 2020,RB Leipzig,2-2,Hertha BSC,2019-20
May 27 2020,TSG 1899 Hoffenheim,3-1,1. FC Köln,2019-20
May 27 2020,Fortuna Düsseldorf,2-1,FC Schalke 04,2019-20
May 27 2020,FC Augsburg,0-0,SC Paderborn 07,2019-20
May 27 2020,1. FC Union Berlin,1-1,1. FSV Mainz 05,2019-20
May 29 2020,SC Freiburg,0-1,Bayer 04 Leverkusen,2019-20
May 30 2020,VfL Wolfsburg,1-2,Eintracht Frankfurt,2019-20
May 30 2020,Hertha BSC,2-0,FC Augsburg,2019-20
May 30 2020,1. FSV Mainz 05,0-1,TSG 1899 Hoffenheim,2019-20
May 30 2020,FC Schalke 04,0-1,Werder Bremen,2019-20
May 30 2020,Bayern Munich,5-0,Fortuna Düsseldorf,2019-20
May 31 2020,Bor. Mönchengladbach,4-1,1. FC Union Berlin,2019-20
May 31 2020,SC Paderborn 07,1-6,Borussia Dortmund,2019-20
Jun 1 2020,1. FC Köln,2-4,RB Leipzig,2019-20
Jun 3 2020,Werder Bremen,0-3,Eintracht Frankfurt,2019-20
Jun 5 2020,SC Freiburg,1-0,Bor. Mönchengladbach,2019-20
Jun 6 2020,RB Leipzig,1-1,SC Paderborn 07,2019-20
Jun 6 2020,Bayer 04 Leverkusen,2-4,Bayern Munich,2019-20
Jun 6 2020,Eintracht Frankfurt,0-2,1. FSV Mainz 05,2019-20
Jun 6 2020,Fortuna Düsseldorf,2-2,TSG 1899 Hoffenheim,2019-20
Jun 6 2020,Borussia Dortmund,1-0,Hertha BSC,2019-20
Jun 7 2020,Werder Bremen,0-1,VfL Wolfsburg,2019-20
Jun 7 2020,1. FC Union Berlin,1-1,FC Schalke 04,2019-20
Jun 7 2020,FC Augsburg,1-1,1. FC Köln,2019-20
Jun 12 2020,TSG 1899 Hoffenheim,0-2,RB Leipzig,2019-20
Jun 13 2020,VfL Wolfsburg,2-2,SC Freiburg,2019-20
Jun 13 2020,Fortuna Düsseldorf,0-1,Borussia Dortmund,2019-20
Jun 13 2020,Hertha BSC,1-4,Eintracht Frankfurt,2019-20
Jun 13 2020,1. FC Köln,1-2,1. FC Union Berlin,2019-20
Jun 13 2020,SC Paderborn 07,1-5,Werder Bremen,2019-20
Jun 13 2020,Bayern Munich,2-1,Bor. Mönchengladbach,2019-20
Jun 14 2020,1. FSV Mainz 05,0-1,FC Augsburg,2019-20
Jun 14 2020,FC Schalke 04,1-1,Bayer 04 Leverkusen,2019-20
Jun 16 2020,Bor. Mönchengladbach,3-0,VfL Wolfsburg,2019-20
Jun 16 2020,Werder Bremen,0-1,Bayern Munich,2019-20
Jun 16 2020,SC Freiburg,2-1,Hertha BSC,2019-20
Jun 16 2020,1. FC Union Berlin,1-0,SC Paderborn 07,2019-20
Jun 17 2020,Eintracht Frankfurt,2-1,FC Schalke 04,2019-20
Jun 17 2020,Borussia Dortmund,0-2,1. FSV Mainz 05,2019-20
Jun 17 2020,RB Leipzig,2-2,Fortuna Düsseldorf,2019-20
Jun 17 2020,Bayer 04 Leverkusen,3-1,1. FC Köln,2019-20
Jun 17 2020,FC Augsburg,1-3,TSG 1899 Hoffenheim,2019-20
Jun 20 2020,FC Schalke 04,1-4,VfL Wolfsburg,2019-20
Jun 20 2020,Fortuna Düsseldorf,1-1,FC Augsburg,2019-20
Jun 20 2020,Bayern Munich,3-1,SC Freiburg,2019-20
Jun 20 2020,1. FC Köln,1-1,Eintracht Frankfurt,2019-20
Jun 20 2020,Hertha BSC,2-0,Bayer 04 Leverkusen,2019-20
Jun 20 2020,1. FSV Mainz 05,3-1,Werder Bremen,2019-20
Jun 20 2020,SC Paderborn 07,1-3,Bor. Mönchengladbach,2019-20
Jun 20 2020,TSG 1899 Hoffenheim,4-0,1. FC Union Berlin,2019-20
Jun 20 2020,RB Leipzig,0-2,Borussia Dortmund,2019-20
Jun 27 2020,Werder Bremen,6-1,1. FC Köln,2019-20
Jun 27 2020,SC Freiburg,4-0,FC Schalke 04,2019-20
Jun 27 2020,Bayer 04 Leverkusen,1-0,1. FSV Mainz 05,2019-20
Jun 27 2020,Bor. Mönchengladbach,2-1,Hertha BSC,2019-20
Jun 27 2020,Borussia Dortmund,0-4,TSG 1899 Hoffenheim,2019-20
Jun 27 2020,VfL Wolfsburg,0-4,Bayern Munich,2019-20
Jun 27 2020,Eintracht Frankfurt,3-2,SC Paderborn 07,2019-20
Jun 27 2020,1. FC Union Berlin,3-0,Fortuna Düsseldorf,2019-20
Jun 27 2020,FC Augsburg,1-2,RB Leipzig,2019-20
Jul 26 2019,VfB Stuttgart,2-1,Hannover 96,2019-20
Jul 27 2019,Dynamo Dresden,0-1,1. FC Nürnberg,2019-20
Jul 27 2019,Holstein Kiel,1-1,SV Sandhausen,2019-20
Jul 27 2019,VfL Osnabrück,1-3,1. FC Heidenheim,2019-20
Jul 28 2019,Hamburger SV,1-1,SV Darmstadt 98,2019-20
Jul 28 2019,SSV Jahn Regensburg,3-1,VfL Bochum,2019-20
Jul 28 2019,SV Wehen Wiesbaden,1-2,Karlsruher SC,2019-20
Jul 28 2019,SpVgg Greuther Fürth,0-2,FC Erzgebirge Aue,2019-20
Jul 29 2019,Arminia Bielefeld,1-1,FC St. Pauli,2019-20
Aug 2 2019,VfL Bochum,3-3,Arminia Bielefeld,2019-20
Aug 2 2019,SV Sandhausen,0-1,VfL Osnabrück,2019-20
Aug 2 2019,FC St. Pauli,1-3,SpVgg Greuther Fürth,2019-20
Aug 3 2019,Karlsruher SC,4-2,Dynamo Dresden,2019-20
Aug 3 2019,Hannover 96,1-1,SSV Jahn Regensburg,2019-20
Aug 4 2019,1. FC Heidenheim,2-2,VfB Stuttgart,2019-20
Aug 4 2019,FC Erzgebirge Aue,3-2,SV Wehen Wiesbaden,2019-20
Aug 4 2019,SV Darmstadt 98,2-0,Holstein Kiel,2019-20
Aug 5 2019,1. FC Nürnberg,0-4,Hamburger SV,2019-20
Aug 16 2019,SV Sandhausen,3-2,1. FC Nürnberg,2019-20
Aug 16 2019,Hamburger SV,1-0,VfL Bochum,2019-20
Aug 17 2019,Arminia Bielefeld,3-1,FC Erzgebirge Aue,2019-20
Aug 17 2019,SV Wehen Wiesbaden,0-3,Hannover 96,2019-20
Aug 17 2019,VfB Stuttgart,2-1,FC St. Pauli,2019-20
Aug 18 2019,SpVgg Greuther Fürth,1-0,SSV Jahn Regensburg,2019-20
Aug 18 2019,Dynamo Dresden,2-1,1. FC Heidenheim,2019-20
Aug 18 2019,Holstein Kiel,2-1,Karlsruher SC,2019-20
Aug 19 2019,VfL Osnabrück,4-0,SV Darmstadt 98,2019-20
Aug 23 2019,FC Erzgebirge Aue,0-0,VfB Stuttgart,2019-20
Aug 23 2019,SV Darmstadt 98,0-0,Dynamo Dresden,2019-20
Aug 24 2019,SSV Jahn Regensburg,1-3,Arminia Bielefeld,2019-20
Aug 24 2019,VfL Bochum,3-3,SV Wehen Wiesbaden,2019-20
Aug 24 2019,Hannover 96,1-1,SpVgg Greuther Fürth,2019-20
Aug 25 2019,1. FC Heidenheim,0-2,SV Sandhausen,2019-20
Aug 25 2019,1. FC Nürnberg,1-0,VfL Osnabrück,2019-20
Aug 25 2019,Karlsruher SC,2-4,Hamburger SV,2019-20
Aug 26 2019,FC St. Pauli,2-1,Holstein Kiel,2019-20
Aug 30 2019,SV Sandhausen,1-0,SV Darmstadt 98,2019-20
Aug 30 2019,1. FC Nürnberg,2-2,1. FC Heidenheim,2019-20
Aug 31 2019,Arminia Bielefeld,2-2,SpVgg Greuther Fürth,2019-20
Aug 31 2019,Dynamo Dresden,3-3,FC St. Pauli,2019-20
Aug 31 2019,SV Wehen Wiesbaden,0-5,SSV Jahn Regensburg,2019-20
Sep 1 2019,Holstein Kiel,1-1,FC Erzgebirge Aue,2019-20
Sep 1 2019,Hamburger SV,3-0,Hannover 96,2019-20
Sep 1 2019,VfL Osnabrück,3-0,Karlsruher SC,2019-20
Sep 2 2019,VfB Stuttgart,2-1,VfL Bochum,2019-20
Sep 13 2019,Karlsruher SC,1-0,SV Sandhausen,2019-20
Sep 13 2019,SpVgg Greuther Fürth,2-1,SV Wehen Wiesbaden,2019-20
Sep 14 2019,SSV Jahn Regensburg,2-3,VfB Stuttgart,2019-20
Sep 14 2019,Hannover 96,0-2,Arminia Bielefeld,2019-20
Sep 14 2019,1. FC Heidenheim,3-0,Holstein Kiel,2019-20
Sep 15 2019,SV Darmstadt 98,3-3,1. FC Nürnberg,2019-20
Sep 15 2019,VfL Bochum,2-2,Dynamo Dresden,2019-20
Sep 15 2019,FC Erzgebirge Aue,1-0,VfL Osnabrück,2019-20
Sep 16 2019,FC St. Pauli,2-0,Hamburger SV,2019-20
Sep 20 2019,Holstein Kiel,1-2,Hannover 96,2019-20
Sep 20 2019,1. FC Heidenheim,1-0,SV Darmstadt 98,2019-20
Sep 21 2019,SV Sandhausen,1-1,VfL Bochum,2019-20
Sep 21 2019,SV Wehen Wiesbaden,2-5,Arminia Bielefeld,2019-20
Sep 21 2019,1. FC Nürnberg,1-1,Karlsruher SC,2019-20
Sep 21 2019,VfB Stuttgart,2-0,SpVgg Greuther Fürth,2019-20
Sep 22 2019,Dynamo Dresden,2-1,SSV Jahn Regensburg,2019-20
Sep 22 2019,Hamburger SV,4-0,FC Erzgebirge Aue,2019-20
Sep 22 2019,VfL Osnabrück,1-1,FC St. Pauli,2019-20
Sep 27 2019,SV Wehen Wiesbaden,2-0,VfL Osnabrück,2019-20
Sep 27 2019,Arminia Bielefeld,0-1,VfB Stuttgart,2019-20
Sep 28 2019,Karlsruher SC,1-1,1. FC Heidenheim,2019-20
Sep 28 2019,VfL Bochum,2-2,SV Darmstadt 98,2019-20
Sep 28 2019,SSV Jahn Regensburg,2-2,Hamburger SV,2019-20
Sep 29 2019,FC Erzgebirge Aue,4-1,Dynamo Dresden,2019-20
Sep 29 2019,FC St. Pauli,2-0,SV Sandhausen,2019-20
Sep 29 2019,SpVgg Greuther Fürth,0-3,Holstein Kiel,2019-20
Sep 30 2019,Hannover 96,0-4,1. FC Nürnberg,2019-20
Oct 4 2019,VfB Stuttgart,1-2,SV Wehen Wiesbaden,2019-20
Oct 4 2019,SV Darmstadt 98,1-1,Karlsruher SC,2019-20
Oct 5 2019,SV Sandhausen,2-2,FC Erzgebirge Aue,2019-20
Oct 5 2019,Dynamo Dresden,0-2,Hannover 96,2019-20
Oct 5 2019,Hamburger SV,2-0,SpVgg Greuther Fürth,2019-20
Oct 6 2019,Holstein Kiel,1-2,SSV Jahn Regensburg,2019-20
Oct 6 2019,1. FC Heidenheim,2-3,VfL Bochum,2019-20
Oct 6 2019,1. FC Nürnberg,1-1,FC St. Pauli,2019-20
Oct 7 2019,VfL Osnabrück,0-1,Arminia Bielefeld,2019-20
Oct 18 2019,FC Erzgebirge Aue,4-3,1. FC Nürnberg,2019-20
Oct 18 2019,SpVgg Greuther Fürth,2-0,Dynamo Dresden,2019-20
Oct 19 2019,SV Wehen Wiesbaden,0-0,1. FC Heidenheim,2019-20
Oct 19 2019,FC St. Pauli,0-1,SV Darmstadt 98,2019-20
Oct 19 2019,SSV Jahn Regensburg,1-0,SV Sandhausen,2019-20
Oct 20 2019,VfB Stuttgart,0-1,Holstein Kiel,2019-20
Oct 20 2019,VfL Bochum,3-3,Karlsruher SC,2019-20
Oct 20 2019,Hannover 96,0-0,VfL Osnabrück,2019-20
Oct 21 2019,Arminia Bielefeld,1-1,Hamburger SV,2019-20
Oct 25 2019,Holstein Kiel,2-1,VfL Bochum,2019-20
Oct 25 2019,SV Darmstadt 98,1-0,FC Erzgebirge Aue,2019-20
Oct 26 2019,Dynamo Dresden,0-1,Arminia Bielefeld,2019-20
Oct 26 2019,Karlsruher SC,3-3,Hannover 96,2019-20
Oct 26 2019,Hamburger SV,6-2,VfB Stuttgart,2019-20
Oct 27 2019,VfL Osnabrück,0-0,SpVgg Greuther Fürth,2019-20
Oct 27 2019,1. FC Nürnberg,1-1,SSV Jahn Regensburg,2019-20
Oct 27 2019,1. FC Heidenheim,1-0,FC St. Pauli,2019-20
Oct 28 2019,SV Sandhausen,0-0,SV Wehen Wiesbaden,2019-20
Nov 1 2019,Hannover 96,1-1,SV Sandhausen,2019-20
Nov 1 2019,SSV Jahn Regensburg,3-3,VfL Osnabrück,2019-20
Nov 2 2019,SpVgg Greuther Fürth,3-1,SV Darmstadt 98,2019-20
Nov 2 2019,FC St. Pauli,2-2,Karlsruher SC,2019-20
Nov 2 2019,FC Erzgebirge Aue,1-1,1. FC Heidenheim,2019-20
Nov 3 2019,SV Wehen Wiesbaden,1-1,Hamburger SV,2019-20
Nov 3 2019,Arminia Bielefeld,2-1,Holstein Kiel,2019-20
Nov 3 2019,VfB Stuttgart,3-1,Dynamo Dresden,2019-20
Nov 4 2019,VfL Bochum,3-1,1. FC Nürnberg,2019-20
Nov 8 2019,Dynamo Dresden,1-0,SV Wehen Wiesbaden,2019-20
Nov 8 2019,FC St. Pauli,1-1,VfL Bochum,2019-20
Nov 9 2019,SV Sandhausen,3-2,SpVgg Greuther Fürth,2019-20
Nov 9 2019,Holstein Kiel,1-1,Hamburger SV,2019-20
Nov 9 2019,VfL Osnabrück,1-0,VfB Stuttgart,2019-20
Nov 10 2019,1. FC Heidenheim,4-0,Hannover 96,2019-20
Nov 10 2019,1. FC Nürnberg,1-5,Arminia Bielefeld,2019-20
Nov 10 2019,SV Darmstadt 98,2-2,SSV Jahn Regensburg,2019-20
Nov 11 2019,Karlsruher SC,1-1,FC Erzgebirge Aue,2019-20
Nov 22 2019,FC Erzgebirge Aue,3-1,FC St. Pauli,2019-20
Nov 22 2019,VfL Bochum,1-1,VfL Osnabrück,2019-20
Nov 23 2019,SV Wehen Wiesbaden,3-6,Holstein Kiel,2019-20
Nov 23 2019,Hamburger SV,2-1,Dynamo Dresden,2019-20
Nov 23 2019,Arminia Bielefeld,1-1,SV Sandhausen,2019-20
Nov 24 2019,SSV Jahn Regensburg,3-1,1. FC Heidenheim,2019-20
Nov 24 2019,SpVgg Greuther Fürth,0-0,1. FC Nürnberg,2019-20
Nov 24 2019,VfB Stuttgart,3-0,Karlsruher SC,2019-20
Nov 25 2019,Hannover 96,1-2,SV Darmstadt 98,2019-20
Nov 29 2019,Karlsruher SC,4-1,SSV Jahn Regensburg,2019-20
Nov 29 2019,VfL Osnabrück,2-1,Hamburger SV,2019-20
Nov 30 2019,1. FC Nürnberg,0-2,SV Wehen Wiesbaden,2019-20
Nov 30 2019,FC St. Pauli,0-1,Hannover 96,2019-20
Nov 30 2019,VfL Bochum,2-0,FC Erzgebirge Aue,2019-20
Nov 30 2019,Dynamo Dresden,1-2,Holstein Kiel,2019-20
Dec 1 2019,SV Darmstadt 98,1-3,Arminia Bielefeld,2019-20
Dec 1 2019,SV Sandhausen,2-1,VfB Stuttgart,2019-20
Dec 1 2019,1. FC Heidenheim,1-0,SpVgg Greuther Fürth,2019-20
Dec 6 2019,Arminia Bielefeld,2-2,Karlsruher SC,2019-20
Dec 6 2019,Hamburger SV,0-1,1. FC Heidenheim,2019-20
Dec 7 2019,SpVgg Greuther Fürth,3-1,VfL Bochum,2019-20
Dec 7 2019,Holstein Kiel,2-4,VfL Osnabrück,2019-20
Dec 7 2019,Hannover 96,3-2,FC Erzgebirge Aue,2019-20
Dec 8 2019,SV Wehen Wiesbaden,0-0,SV Darmstadt 98,2019-20
Dec 8 2019,Dynamo Dresden,1-1,SV Sandhausen,2019-20
Dec 8 2019,SSV Jahn Regensburg,1-0,FC St. Pauli,2019-20
Dec 9 2019,VfB Stuttgart,3-1,1. FC Nürnberg,2019-20
Dec 13 2019,VfL Bochum,2-1,Hannover 96,2019-20
Dec 13 2019,FC Erzgebirge Aue,1-0,SSV Jahn Regensburg,2019-20
Dec 14 2019,1. FC Heidenheim,0-0,Arminia Bielefeld,2019-20
Dec 14 2019,Karlsruher SC,1-5,SpVgg Greuther Fürth,2019-20
Dec 14 2019,FC St. Pauli,3-1,SV Wehen Wiesbaden,2019-20
Dec 15 2019,1. FC Nürnberg,2-2,Holstein Kiel,2019-20
Dec 15 2019,VfL Osnabrück,3-0,Dynamo Dresden,2019-20
Dec 15 2019,SV Sandhausen,1-1,Hamburger SV,2019-20
Dec 16 2019,SV Darmstadt 98,1-1,VfB Stuttgart,2019-20
Dec 20 2019,Karlsruher SC,0-1,SV Wehen Wiesbaden,2019-20
Dec 20 2019,1. FC Nürnberg,2-0,Dynamo Dresden,2019-20
Dec 21 2019,FC Erzgebirge Aue,3-1,SpVgg Greuther Fürth,2019-20
Dec 21 2019,FC St. Pauli,3-0,Arminia Bielefeld,2019-20
Dec 21 2019,Hannover 96,2-2,VfB Stuttgart,2019-20
Dec 21 2019,SV Darmstadt 98,2-2,Hamburger SV,2019-20
Dec 22 2019,VfL Bochum,2-3,SSV Jahn Regensburg,2019-20
Dec 22 2019,1. FC Heidenheim,3-1,VfL Osnabrück,2019-20
Dec 22 2019,SV Sandhausen,2-2,Holstein Kiel,2019-20
Jan 28 2020,Arminia Bielefeld,2-0,VfL Bochum,2019-20
Jan 28 2020,SV Wehen Wiesbaden,1-0,FC Erzgebirge Aue,2019-20
Jan 28 2020,SpVgg Greuther Fürth,3-0,FC St. Pauli,2019-20
Jan 28 2020,SSV Jahn Regensburg,1-0,Hannover 96,2019-20
Jan 29 2020,VfB Stuttgart,3-0,1. FC Heidenheim,2019-20
Jan 29 2020,Holstein Kiel,1-1,SV Darmstadt 98,2019-20
Jan 29 2020,VfL Osnabrück,1-3,SV Sandhausen,2019-20
Jan 29 2020,Dynamo Dresden,1-0,Karlsruher SC,2019-20
Jan 30 2020,Hamburger SV,4-1,1. FC Nürnberg,2019-20
Jan 31 2020,SSV Jahn Regensburg,0-2,SpVgg Greuther Fürth,2019-20
Jan 31 2020,FC Erzgebirge Aue,0-0,Arminia Bielefeld,2019-20
Feb 1 2020,Hannover 96,2-2,SV Wehen Wiesbaden,2019-20
Feb 1 2020,FC St. Pauli,1-1,VfB Stuttgart,2019-20
Feb 1 2020,Karlsruher SC,0-2,Holstein Kiel,2019-20
Feb 2 2020,1. FC Nürnberg,2-0,SV Sandhausen,2019-20
Feb 2 2020,SV Darmstadt 98,2-2,VfL Osnabrück,2019-20
Feb 2 2020,1. FC Heidenheim,0-0,Dynamo Dresden,2019-20
Feb 3 2020,VfL Bochum,1-3,Hamburger SV,2019-20
Feb 7 2020,SV Sandhausen,0-1,1. FC Heidenheim,2019-20
Feb 7 2020,Dynamo Dresden,2-3,SV Darmstadt 98,2019-20
Feb 8 2020,Hamburger SV,2-0,Karlsruher SC,2019-20
Feb 8 2020,VfL Osnabrück,0-1,1. FC Nürnberg,2019-20
Feb 8 2020,VfB Stuttgart,3-0,FC Erzgebirge Aue,2019-20
Feb 9 2020,SpVgg Greuther Fürth,1-3,Hannover 96,2019-20
Feb 9 2020,Arminia Bielefeld,6-0,SSV Jahn Regensburg,2019-20
Feb 9 2020,SV Wehen Wiesbaden,0-1,VfL Bochum,2019-20
Feb 10 2020,Holstein Kiel,2-1,FC St. Pauli,2019-20
Feb 14 2020,1. FC Heidenheim,2-2,1. FC Nürnberg,2019-20
Feb 14 2020,FC St. Pauli,0-0,Dynamo Dresden,2019-20
Feb 15 2020,SpVgg Greuther Fürth,2-4,Arminia Bielefeld,2019-20
Feb 15 2020,SSV Jahn Regensburg,1-0,SV Wehen Wiesbaden,2019-20
Feb 15 2020,Hannover 96,1-1,Hamburger SV,2019-20
Feb 16 2020,SV Darmstadt 98,1-0,SV Sandhausen,2019-20
Feb 16 2020,Karlsruher SC,1-1,VfL Osnabrück,2019-20
Feb 16 2020,FC Erzgebirge Aue,1-2,Holstein Kiel,2019-20
Feb 17 2020,VfL Bochum,0-1,VfB Stuttgart,2019-20
Feb 21 2020,VfL Osnabrück,0-0,FC Erzgebirge Aue,2019-20
Feb 21 2020,SV Wehen Wiesbaden,1-1,SpVgg Greuther Fürth,2019-20
Feb 22 2020,Dynamo Dresden,1-2,VfL Bochum,2019-20
Feb 22 2020,Hamburger SV,0-2,FC St. Pauli,2019-20
Feb 22 2020,VfB Stuttgart,2-0,SSV Jahn Regensburg,2019-20
Feb 22 2020,Holstein Kiel,0-1,1. FC Heidenheim,2019-20
Feb 23 2020,1. FC Nürnberg,1-2,SV Darmstadt 98,2019-20
Feb 23 2020,SV Sandhausen,0-2,Karlsruher SC,2019-20
Feb 23 2020,Arminia Bielefeld,1-0,Hannover 96,2019-20
Feb 28 2020,Karlsruher SC,0-1,1. FC Nürnberg,2019-20
Feb 28 2020,SSV Jahn Regensburg,1-2,Dynamo Dresden,2019-20
Feb 29 2020,SpVgg Greuther Fürth,2-0,VfB Stuttgart,2019-20
Feb 29 2020,SV Darmstadt 98,2-0,1. FC Heidenheim,2019-20
Feb 29 2020,FC Erzgebirge Aue,3-0,Hamburger SV,2019-20
Mar 1 2020,FC St. Pauli,3-1,VfL Osnabrück,2019-20
Mar 1 2020,VfL Bochum,4-4,SV Sandhausen,2019-20
Mar 1 2020,Arminia Bielefeld,1-0,SV Wehen Wiesbaden,2019-20
Mar 2 2020,Hannover 96,3-1,Holstein Kiel,2019-20
Mar 6 2020,1. FC Nürnberg,0-3,Hannover 96,2019-20
Mar 6 2020,VfL Osnabrück,2-6,SV Wehen Wiesbaden,2019-20
Mar 7 2020,Hamburger SV,2-1,SSV Jahn Regensburg,2019-20
Mar 7 2020,SV Darmstadt 98,0-0,VfL Bochum,2019-20
Mar 7 2020,1. FC Heidenheim,3-1,Karlsruher SC,2019-20
Mar 8 2020,Holstein Kiel,1-1,SpVgg Greuther Fürth,2019-20
Mar 8 2020,SV Sandhausen,2-2,FC St. Pauli,2019-20
Mar 8 2020,Dynamo Dresden,2-1,FC Erzgebirge Aue,2019-20
Mar 9 2020,VfB Stuttgart,1-1,Arminia Bielefeld,2019-20
May 16 2020,VfL Bochum,3-0,1. FC Heidenheim,2019-20
May 16 2020,FC Erzgebirge Aue,3-1,SV Sandhausen,2019-20
May 16 2020,Karlsruher SC,2-0,SV Darmstadt 98,2019-20
May 16 2020,SSV Jahn Regensburg,2-2,Holstein Kiel,2019-20
May 17 2020,FC St. Pauli,1-0,1. FC Nürnberg,2019-20
May 17 2020,SV Wehen Wiesbaden,2-1,VfB Stuttgart,2019-20
May 17 2020,Arminia Bielefeld,1-1,VfL Osnabrück,2019-20
May 17 2020,SpVgg Greuther Fürth,2-2,Hamburger SV,2019-20
May 22 2020,1. FC Nürnberg,1-1,FC Erzgebirge Aue,2019-20
May 22 2020,1. FC Heidenheim,1-0,SV Wehen Wiesbaden,2019-20
May 23 2020,SV Sandhausen,0-0,SSV Jahn Regensburg,2019-20
May 23 2020,VfL Osnabrück,2-4,Hannover 96,2019-20
May 23 2020,SV Darmstadt 98,4-0,FC St. Pauli,2019-20
May 24 2020,Holstein Kiel,3-2,VfB Stuttgart,2019-20
May 24 2020,Karlsruher SC,0-0,VfL Bochum,2019-20
May 24 2020,Hamburger SV,0-0,Arminia Bielefeld,2019-20
May 26 2020,SSV Jahn Regensburg,2-2,1. FC Nürnberg,2019-20
May 26 2020,SV Wehen Wiesbaden,0-1,SV Sandhausen,2019-20
May 26 2020,SpVgg Greuther Fürth,0-2,VfL Osnabrück,2019-20
May 26 2020,FC Erzgebirge Aue,1-3,SV Darmstadt 98,2019-20
May 27 2020,VfL Bochum,2-1,Holstein Kiel,2019-20
May 27 2020,Hannover 96,1-1,Karlsruher SC,2019-20
May 27 2020,FC St. Pauli,0-0,1. FC Heidenheim,2019-20
May 28 2020,VfB Stuttgart,3-2,Hamburger SV,2019-20
May 29 2020,SV Darmstadt 98,1-1,SpVgg Greuther Fürth,2019-20
May 29 2020,VfL Osnabrück,2-2,SSV Jahn Regensburg,2019-20
May 30 2020,1. FC Nürnberg,0-0,VfL Bochum,2019-20
May 30 2020,Karlsruher SC,1-1,FC St. Pauli,2019-20
May 30 2020,Holstein Kiel,1-2,Arminia Bielefeld,2019-20
May 30 2020,SV Sandhausen,3-1,Hannover 96,2019-20
May 31 2020,Hamburger SV,3-2,SV Wehen Wiesbaden,2019-20
May 31 2020,Dynamo Dresden,0-2,VfB Stuttgart,2019-20
May 31 2020,1. FC Heidenheim,3-0,FC Erzgebirge Aue,2019-20
Jun 3 2020,Hannover 96,3-0,Dynamo Dresden,2019-20
Jun 5 2020,VfL Bochum,2-0,FC St. Pauli,2019-20
Jun 5 2020,SpVgg Greuther Fürth,1-2,SV Sandhausen,2019-20
Jun 6 2020,Arminia Bielefeld,1-1,1. FC Nürnberg,2019-20
Jun 6 2020,SSV Jahn Regensburg,3-0,SV Darmstadt 98,2019-20
Jun 6 2020,SV Wehen Wiesbaden,2-3,Dynamo Dresden,2019-20
Jun 7 2020,FC Erzgebirge Aue,1-0,Karlsruher SC,2019-20
Jun 7 2020,Hannover 96,2-1,1. FC Heidenheim,2019-20
Jun 7 2020,VfB Stuttgart,0-0,VfL Osnabrück,2019-20
Jun 8 2020,Hamburger SV,3-3,Holstein Kiel,2019-20
Jun 9 2020,Dynamo Dresden,1-1,SpVgg Greuther Fürth,2019-20
Jun 12 2020,SV Sandhausen,0-0,Arminia Bielefeld,2019-20
Jun 12 2020,Dynamo Dresden,0-1,Hamburger SV,2019-20
Jun 13 2020,1. FC Heidenheim,4-1,SSV Jahn Regensburg,2019-20
Jun 13 2020,1. FC Nürnberg,0-1,SpVgg Greuther Fürth,2019-20
Jun 13 2020,Holstein Kiel,1-2,SV Wehen Wiesbaden,2019-20
Jun 13 2020,VfL Osnabrück,0-2,VfL Bochum,2019-20
Jun 14 2020,FC St. Pauli,2-1,FC Erzgebirge Aue,2019-20
Jun 14 2020,Karlsruher SC,2-1,VfB Stuttgart,2019-20
Jun 14 2020,SV Darmstadt 98,3-2,Hannover 96,2019-20
Jun 15 2020,Arminia Bielefeld,4-0,Dynamo Dresden,2019-20
Jun 16 2020,Hamburger SV,1-1,VfL Osnabrück,2019-20
Jun 16 2020,SpVgg Greuther Fürth,0-0,1. FC Heidenheim,2019-20
